Sample ID,Commod,Pesticide Code,Pesticide Name,Test Class,Concentration,LOD,pp_,Confirm 1,Confirm 2,Annotate,Quantitate,Mean,Extract,Determ,EPA Tolerance (ppm),,,States,Concentration,Pesticide Data Table in 2018,,,
MI1804240053RANY1P,RA,B22,Cyprodinil,V,0.0032,0.003,M,GT,,,,O,805,35,5,,,MI,0.0032,,,,
MI1804240053RANY1P,RA,AHM,Spirotetramat,I,0.017,0.0015,M,HR,,,,O,805,80,3,,,MI,0.017,,,,
MI1804240053RANY1P,RA,B61,Pyraclostrobin,F,0.014,0.001,M,HR,,,,O,805,80,7,,,MI,0.014,,,,
MI1804240053RANY1P,RA,967,Imidacloprid,A,0.011,0.001,M,HR,,,,O,805,80,1.5,,,MI,0.011,,,,
MI1804240053RANY1P,RA,AKG,Fluopyram,A,0.045,0.001,M,HR,,,,O,805,80,3,,,MI,0.045,,,,
MI1804240084RANY1,RA,B75,Boscalid,A,0.29,0.001,M,GT,,,,O,805,35,8.5,,,MI,0.29,,,,
MI1804240084RANY1,RA,B61,Pyraclostrobin,F,0.12,0.001,M,HR,,,,O,805,80,7,,,MI,0.12,,,,
MI1804240084RANY1,RA,AFM,Flutriafol,L,0.0017,0.001,M,HR,,Q,,O,805,80,2.4,,,MI,0.0017,,,,
MI1804240084RANY1,RA,B52,Buprofezin,F,0.003,0.001,M,HR,,,,O,805,80,2.5,,,MI,0.003,,,,
MI1804240084RANY1,RA,679,Myclobutanil,L,0.003,0.001,M,HR,,,,O,805,80,10,,,MI,0.003,,,,
MI1804240084RANY1,RA,B42,Kresoxim-methyl,I,0.0025,0.0015,M,GT,,Q,,O,805,35,1.5,,,MI,0.0025,,,,
MI1804240084RANY1,RA,B57,Quinoxyfen,I,0.002,0.0012,M,GT,,Q,,O,805,35,2,,,MI,0.002,,,,
MI1804240084RANY1,RA,B79,Trifloxystrobin,F,0.012,0.001,M,HR,,,,O,805,80,5,,,MI,0.012,,,,
MI1804240084RANY1,RA,967,Imidacloprid,A,0.011,0.001,M,HR,,,,O,805,80,1.5,,,MI,0.011,,,,
MI1804240084RANY1,RA,AHM,Spirotetramat,I,0.009,0.0015,M,HR,,,,O,805,80,3,,,MI,0.009,,,,
MI1804240084RANY1,RA,B84,Etoxazole,F,0.008,0.001,M,HR,,,,O,805,80,1.5,,,MI,0.008,,,,
MI1804240084RANY1,RA,AKG,Fluopyram,A,0.005,0.001,M,HR,,,,O,805,80,3,,,MI,0.005,,,,
MI1804240084RANY1,RA,AHS,Flubendiamide,I,0.026,0.001,M,HR,,,,O,805,80,1.4,,,MI,0.026,,,,
MI1804240084RANY1,RA,B72,Tetraconazole,L,0.019,0.001,M,HR,,,,O,805,80,0.2,,,MI,0.019,,,,
MI1804240084RANY1,RA,AEP,Clothianidin,F,0.013,0.005,M,HR,,,,O,805,80,0.6,,,MI,0.013,,,,
MI1804240005RANY1P,RA,AFM,Flutriafol,L,0.036,0.001,M,HR,,,,O,805,80,2.4,,,MI,0.036,,,,
MI1804240010RANY1,RA,B48,Azoxystrobin,F,0.13,0.001,M,HR,,,,O,805,80,2,,,MI,0.13,,,,
MI1804240027RANY1,RA,B61,Pyraclostrobin,F,0.041,0.001,M,HR,,,,O,805,80,7,,,MI,0.041,,,,
MI1804240047RANY1,RA,AES,Methoxyfenozide,I,0.2,0.001,M,HR,,,,O,805,80,1.5,,,MI,0.2,,,,
MI1804240053RANY1P,RA,AES,Methoxyfenozide,I,0.037,0.001,M,HR,,,,O,805,80,1.5,,,MI,0.037,,,,
MI1804240084RANY1,RA,AES,Methoxyfenozide,I,0.62,0.001,M,HR,,,,O,805,80,1.5,,,MI,0.62,,,,
MI1804240005WFCA1P,WF,612,Deltamethrin  (includes parent Tralomethrin),O,0.0088,0.0012,M,GT,,,,O,805,35,1,,,MI,0.0088,,,,
MI1804240005WFCA1P,WF,70,Piperonyl butoxide,I,0.15,0.0025,M,GT,,,,O,805,35,20,,,MI,0.15,,,,
MI1804240010WFCA1,WF,70,Piperonyl butoxide,I,0.51,0.0025,M,GT,,,,O,805,35,20,,,MI,0.51,,,,
MI1804240053WFCA1P,WF,612,Deltamethrin  (includes parent Tralomethrin),O,0.015,0.0012,M,GT,,,,O,805,35,1,,,MI,0.015,,,,
MI1804240053WFCA1P,WF,70,Piperonyl butoxide,I,0.31,0.0025,M,GT,,,,O,805,35,20,,,MI,0.31,,,,
MI1804240005WFCA1P,WF,52,Malathion,C,0.0031,0.0025,M,LU,,,,O,805,52,8,,,MI,0.0031,,,,
MI1804240010WFCA1,WF,612,Deltamethrin  (includes parent Tralomethrin),O,0.028,0.0012,M,GT,,,,O,805,35,1,,,MI,0.028,,,,
MI1804240053WFCA1P,WF,52,Malathion,C,0.0025,0.0025,M,LU,,,,O,805,52,8,,,MI,0.0025,,,,
MI1804030005ZBNY1,ZB,B75,Boscalid,A,0.0017,0.001,M,GT,,Q,,O,805,35,2.5,,,MI,0.0017,,,,
MI1804240005PDWA1P,PD,B22,Cyprodinil,V,0.0063,0.005,M,LU,,,,O,805,64,2,,,MI,0.0063,,,,
MI1804170036SNOH1P,SN,AEM,"Cyhalothrin, Lambda",O,0.0033,0.002,M,GT,,Q,,O,805,35,0.2,,,MI,0.0033,,,,
MI1804170047SNOH1,SN,171,Dimethoate,C,0.0848,0.015,M,LU,,,,O,805,52,2,,,MI,0.0848,,,,
MI1804170050SNOH1,SN,AEM,"Cyhalothrin, Lambda",O,0.0033,0.002,M,GT,,Q,,O,805,35,0.2,,,MI,0.0033,,,,
MI1804170088SNOH1A,SN,539,Permethrin Total,O,0.0083,0.005,M,GT,,QV,,O,805,35,NT,,,MI,0.0083,,,,
MI1804170088SNOH1B,SN,B48,Azoxystrobin,F,0.0033,0.002,M,LU,,Q,,O,805,52,3,,,MI,0.0033,,,,
MI1804170047SNOH1,SN,178,Omethoate,C,0.0832,0.05,M,LU,,Q,,O,805,52,2,,,MI,0.0832,,,,
MI1804170050SNOH1,SN,171,Dimethoate,C,0.0524,0.015,M,LU,,,,O,805,52,2,,,MI,0.0524,,,,
MI1804170088SNOH1B,SN,AEM,"Cyhalothrin, Lambda",O,0.0033,0.002,M,GT,,Q,,O,805,35,0.2,,,MI,0.0033,,,,
MI1804170087KWMI1,KW,B23,Fludioxonil,A,0.81,0.065,M,LU,,,,O,805,64,20,,,MI,0.81,,,,
MI1804170105KWMI1,KW,B23,Fludioxonil,A,1.9,0.065,M,LU,,,,O,805,64,20,,,MI,1.9,,,,
MI1804170087KWMI1,KW,114,Chlorpropham,E,0.026,0.02,M,GT,,V,,O,805,35,NT,,,MI,0.026,,,,
MI1804170105KWMI1,KW,ADI,Etofenprox,O,0.062,0.035,M,GT,,,E,O,805,35,5,,,MI,0.062,,,,
MI1804100006GOFL1,GO,134,DCPA,A,0.028,0.005,M,GT,,,,O,805,35,1,,,MI,0.028,,,,
MI1804100007GOFL1,GO,134,DCPA,A,0.0058,0.005,M,GT,,,,O,805,35,1,,,MI,0.0058,,,,
MI1804100102GOFL1,GO,134,DCPA,A,0.16,0.005,M,GT,,,,O,805,35,1,,,MI,0.16,,,,
MI1804100106GOFL1,GO,B48,Azoxystrobin,F,0.084,0.002,M,LU,,,,O,805,52,7.5,,,MI,0.084,,,,
MI1804100006GOFL1,GO,597,Cypermethrin,O,0.023,0.01,M,GT,,,,O,805,35,6,,,MI,0.023,,,,
MI1804100006GOFL1,GO,B48,Azoxystrobin,F,0.053,0.002,M,LU,,,,O,805,52,7.5,,,MI,0.053,,,,
MI1804100106ASWA1,AS,160,Chlorpyrifos,C,0.1,0.005,M,GT,,,,O,805,35,5,,,MI,0.1,,,,
MI1804240010PDWA1P,PD,B10,Hexythiazox,A,0.0023,0.002,M,LU,,,,O,805,64,1.3,,,MI,0.0023,,,,
MI1804240053PDWA1P,PD,B48,Azoxystrobin,F,0.0019,0.0015,M,LU,,,,O,805,64,2,,,MI,0.0019,,,,
MI1804240010PDWA1P,PD,B75,Boscalid,A,0.01,0.0033,M,LU,,,,O,805,64,3.5,,,MI,0.01,,,,
MI1804240053PDWA1P,PD,70,Piperonyl butoxide,I,0.62,0.005,M,GT,,,,O,805,35,10,,,MI,0.62,,,,
NC1804110533OLCA1A,OL,808,Fenpropathrin,O,0.034,0.0012,M,GT,,,,O,805,35,5,,,NC,0.034,,,,
NC1804110533OLCA1B,OL,808,Fenpropathrin,O,0.027,0.0012,M,GT,,,,O,805,35,5,,,NC,0.027,,,,
NC1804180533RANY1A,RA,AES,Methoxyfenozide,I,0.017,0.001,M,HR,,,,O,805,80,1.5,,,NC,0.017,,,,
NC1804180533RANY1A,RA,AHM,Spirotetramat,I,0.01,0.0015,M,HR,,,,O,805,80,3,,,NC,0.01,,,,
NC1804180533RANY1A,RA,B75,Boscalid,A,0.0017,0.001,M,GT,,Q,,O,805,35,8.5,,,NC,0.0017,,,,
NC1804180533RANY1A,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,NC,0.0017,,,,
NC1804180533RANY1A,RA,679,Myclobutanil,L,0.0017,0.001,M,HR,,Q,,O,805,80,10,,,NC,0.0017,,,,
NC1804180533RANY1A,RA,B52,Buprofezin,F,0.004,0.001,M,HR,,,,O,805,80,2.5,,,NC,0.004,,,,
NC1804180533RANY1A,RA,967,Imidacloprid,A,0.004,0.001,M,HR,,,,O,805,80,1.5,,,NC,0.004,,,,
NC1804180533RANY1A,RA,AGW,Chlorantraniliprole,I,0.0025,0.0015,M,HR,,Q,,O,805,80,5,,,NC,0.0025,,,,
NC1804180533RANY1B,RA,AES,Methoxyfenozide,I,0.025,0.001,M,HR,,,,O,805,80,1.5,,,NC,0.025,,,,
NC1804180533RANY1B,RA,967,Imidacloprid,A,0.022,0.001,M,HR,,,,O,805,80,1.5,,,NC,0.022,,,,
NC1804180533RANY1B,RA,B16,Pyrimethanil,V,0.0017,0.001,M,HR,,Q,,O,805,80,8,,,NC,0.0017,,,,
NC1804180533RANY1B,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,NC,0.0017,,,,
NC1804180533RANY1B,RA,AHS,Flubendiamide,I,0.006,0.001,M,HR,,,,O,805,80,1.4,,,NC,0.006,,,,
NC1804180533RANY1B,RA,B79,Trifloxystrobin,F,0.004,0.001,M,HR,,,,O,805,80,5,,,NC,0.004,,,,
NC1804180533RANY1B,RA,B72,Tetraconazole,L,0.004,0.001,M,HR,,,,O,805,80,0.2,,,NC,0.004,,,,
NC1804180533RANY1B,RA,B61,Pyraclostrobin,F,0.004,0.001,M,HR,,,,O,805,80,7,,,NC,0.004,,,,
NC1804180533RANY1B,RA,AKG,Fluopyram,A,0.003,0.001,M,HR,,,,O,805,80,3,,,NC,0.003,,,,
NC1804180533RANY1B,RA,AFM,Flutriafol,L,0.003,0.001,M,HR,,,,O,805,80,2.4,,,NC,0.003,,,,
NC1804180533RANY1B,RA,AHM,Spirotetramat,I,0.016,0.0015,M,HR,,,,O,805,80,3,,,NC,0.016,,,,
NC1804180533RANY1B,RA,B75,Boscalid,A,0.012,0.001,M,GT,,,,O,805,35,8.5,,,NC,0.012,,,,
NC1804180533RANY1B,RA,ANE,Flupyradifurone,I,0.009,0.003,M,HR,,,,O,805,80,5,,,NC,0.009,,,,
NC1804180533RANY1B,RA,A58,Tebuconazole,L,0.009,0.001,M,HR,,,,O,805,80,5,,,NC,0.009,,,,
NC1804180533RANY1B,RA,B57,Quinoxyfen,I,0.0077,0.0012,M,GT,,,,O,805,35,2,,,NC,0.0077,,,,
NC1804180564RANY1A,RA,AFS,Fenpyroximate,F,0.098,0.003,M,HR,,,E,O,805,80,1,,,NC,0.098,,,,
NC1804180564RANY1A,RA,B48,Azoxystrobin,F,0.03,0.001,M,HR,,,,O,805,80,2,,,NC,0.03,,,,
NC1804180564RANY1A,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,NC,0.0017,,,,
NC1804180564RANY1A,RA,AGW,Chlorantraniliprole,I,0.0025,0.0015,M,HR,,Q,,O,805,80,5,,,NC,0.0025,,,,
NC1804180564RANY1A,RA,B57,Quinoxyfen,I,0.002,0.0012,M,GT,,Q,,O,805,35,2,,,NC,0.002,,,,
NC1804180564RANY1A,RA,AHM,Spirotetramat,I,0.009,0.0015,M,HR,,,,O,805,80,3,,,NC,0.009,,,,
NC1804180564RANY1A,RA,A58,Tebuconazole,L,0.009,0.001,M,HR,,,,O,805,80,5,,,NC,0.009,,,,
NC1804180564RANY1A,RA,B61,Pyraclostrobin,F,0.008,0.001,M,HR,,,,O,805,80,7,,,NC,0.008,,,,
NC1804180564RANY1A,RA,AKG,Fluopyram,A,0.008,0.001,M,HR,,,,O,805,80,3,,,NC,0.008,,,,
NC1804180564RANY1A,RA,B72,Tetraconazole,L,0.006,0.001,M,HR,,,,O,805,80,0.2,,,NC,0.006,,,,
NC1804180564RANY1A,RA,808,Fenpropathrin,O,0.0037,0.0022,M,GT,,Q,,O,805,35,10,,,NC,0.0037,,,,
NC1804180564RANY1A,RA,B75,Boscalid,A,0.026,0.001,M,GT,,,,O,805,35,8.5,,,NC,0.026,,,,
NC1804180564RANY1A,RA,967,Imidacloprid,A,0.022,0.001,M,HR,,,,O,805,80,1.5,,,NC,0.022,,,,
NC1804180564RANY1A,RA,B58,Difenoconazole,L,0.017,0.001,M,HR,,,,O,805,80,6,,,NC,0.017,,,,
NC1804180564RANY1A,RA,AFM,Flutriafol,L,0.013,0.001,M,HR,,,,O,805,80,2.4,,,NC,0.013,,,,
NC1804180564RANY1A,RA,ANE,Flupyradifurone,I,0.011,0.003,M,HR,,,,O,805,80,5,,,NC,0.011,,,,
NC1804180533RANY1A,RA,B72,Tetraconazole,L,0.007,0.001,M,HR,,,,O,805,80,0.2,,,NC,0.007,,,,
NC1804180533RANY1B,RA,679,Myclobutanil,L,0.034,0.001,M,HR,,,,O,805,80,10,,,NC,0.034,,,,
NC1804180564RANY1A,RA,AES,Methoxyfenozide,I,0.1,0.001,M,HR,,,E,O,805,80,1.5,,,NC,0.1,,,,
NC1804180533WFCA1A,WF,235,Chlorpyrifos methyl,C,0.047,0.0012,M,GT,,,,O,805,35,6,,,NC,0.047,,,,
NC1804180533WFCA1A,WF,70,Piperonyl butoxide,I,0.0043,0.0025,M,GT,,,,O,805,35,20,,,NC,0.0043,,,,
NC1804180533WFCA1A,WF,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.0033,0.0025,M,GT,,,,O,805,35,0.05,,,NC,0.0033,,,,
NC1804180533WFCA1A,WF,52,Malathion,C,0.0068,0.0025,M,LU,,,,O,805,52,8,,,NC,0.0068,,,,
NC1804180533WFCA1B,WF,70,Piperonyl butoxide,I,0.12,0.0025,M,GT,,,,O,805,35,20,,,NC,0.12,,,,
NC1804180533WFCA1A,WF,612,Deltamethrin  (includes parent Tralomethrin),O,0.048,0.0012,M,GT,,,,O,805,35,1,,,NC,0.048,,,,
NC1804180533WFCA1B,WF,612,Deltamethrin  (includes parent Tralomethrin),O,0.0062,0.0012,M,GT,,,,O,805,35,1,,,NC,0.0062,,,,
NC1804180564WFCA1B,WF,52,Malathion,C,0.0047,0.0025,M,LU,,,,O,805,52,8,,,NC,0.0047,,,,
NC1804180533PDWA1B,PD,AES,Methoxyfenozide,I,0.0038,0.0033,M,LU,,,,O,805,64,0.3,,,NC,0.0038,,,,
NC1804180564RANY1B,RA,AES,Methoxyfenozide,I,0.0017,0.001,M,HR,,Q,,O,805,80,1.5,,,NC,0.0017,,,,
NC1804180564RANY1B,RA,AFM,Flutriafol,L,0.0017,0.001,M,HR,,Q,,O,805,80,2.4,,,NC,0.0017,,,,
NY1804170006CGFL1,CG,AES,Methoxyfenozide,I,0.069,0.01,M,LU,,,,O,805,52,7,,,NY,0.069,,,,
NY1804170006CGFL1,CG,930,Bifenthrin,O,0.12,0.005,M,GT,,,,O,805,35,4,,,NY,0.12,,,,
NY1804170135CGFL1,CG,AES,Methoxyfenozide,I,0.033,0.01,M,LU,,,,O,805,52,7,,,NY,0.033,,,,
NY1804170142CGFL1,CG,781,Cyfluthrin,O,0.024,0.005,M,GT,,,,O,805,35,2.5,,,NY,0.024,,,,
NY1804170142CGFL1,CG,159,Methomyl,E,0.17,0.01,M,LU,,,,O,805,52,7,,,NY,0.17,,,,
NY1804170142CGFL1,CG,B43,Thiamethoxam,A,0.02,0.01,M,LU,,,,O,805,52,4.5,,,NY,0.02,,,,
NY1804170142CGFL1,CG,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.019,0.0075,M,GT,,,,O,805,35,0.4,,,NY,0.019,,,,
NY1804170156CGFL1,CG,ADG,Indoxacarb,I,0.026,0.01,M,LU,,,,O,805,52,12,,,NY,0.026,,,,
NY1804170156CGFL1,CG,159,Methomyl,E,0.18,0.01,M,LU,,,,O,805,52,7,,,NY,0.18,,,,
NY1804170156CGFL1,CG,ADE,Esfenvalerate+Fenvalerate Total,O,0.006,0.005,M,GT,,,,O,805,35,3,,,NY,0.006,,,,
NY1804170156CGFL1,CG,781,Cyfluthrin,O,0.017,0.005,M,GT,,,,O,805,35,2.5,,,NY,0.017,,,,
NY1804170156CGFL1,CG,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.016,0.0075,M,GT,,,,O,805,35,0.4,,,NY,0.016,,,,
NY1804170156CGFL1,CG,967,Imidacloprid,A,0.049,0.01,M,LU,,,,O,805,52,3.5,,,NY,0.049,,,,
NY1804020261CCNY1P,CC,B22,Cyprodinil,V,0.0017,0.001,M,GT,,Q,,O,805,35,2,,,NY,0.0017,,,,
NY1804170006CGFL1,CG,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.022,0.0075,M,GT,,,,O,805,35,0.4,,,NY,0.022,,,,
NY1804170068CGFL1,CG,B43,Thiamethoxam,A,0.011,0.01,M,LU,,,,O,805,52,4.5,,,NY,0.011,,,,
NY1804170088CGFL1,CG,967,Imidacloprid,A,0.017,0.01,M,LU,,,,O,805,52,3.5,,,NY,0.017,,,,
NY1804170135CGFL1,CG,AEL,"Cyhalothrin, Total (Cyhalothrin-L + R157836 epimer)",O,0.037,0.0075,M,GT,,,,O,805,35,0.4,,,NY,0.037,,,,
NY1804170142CGFL1,CG,930,Bifenthrin,O,0.025,0.005,M,GT,,,,O,805,35,4,,,NY,0.025,,,,
NY1804170156CGFL1,CG,B43,Thiamethoxam,A,0.043,0.01,M,LU,,,,O,805,52,4.5,,,NY,0.043,,,,
NY1804100031GKOH1,GK,B75,Boscalid,A,1.699,0.01,M,LU,,,,O,805,52,60,,,NY,1.699,,,,
NY1804100068GKOH1,GK,ALS,Sulfoxaflor,F,0.0333,0.02,M,LU,,Q,,O,805,52,2,,,NY,0.0333,,,,
NY1804100068GKOH1,GK,597,Cypermethrin,O,0.6288,0.012,M,GT,,,,O,805,35,14,,,NY,0.6288,,,,
NY1804100068GKOH1,GK,134,DCPA,A,0.0017,0.001,M,GT,,Q,,O,805,35,5,,,NY,0.0017,,,,
NY1804100068GKOH1,GK,AKW,Fluxapyroxad,A,0.005,0.003,M,LU,,Q,,O,805,52,4,,,NY,0.005,,,,
NY1804100068GKOH1,GK,AHM,Spirotetramat,I,0.0183,0.005,M,LU,,,,O,805,52,8,,,NY,0.0183,,,,
NY1804100068GKOH1,GK,AMB,Cyantraniliprole,I,0.0166,0.01,M,LU,,Q,,O,805,52,30,,,NY,0.0166,,,,
NY1804100071GKOH1,GK,AKD,Penthiopyrad,A,0.1596,0.002,M,LU,,,,O,805,52,50,,,NY,0.1596,,,,
NY1804100093GKOH1,GK,B48,Azoxystrobin,F,0.5456,0.002,M,LU,,,,O,805,52,25,,,NY,0.5456,,,,
NY1804100093GKOH1,GK,AGX,Mandipropamid,N,0.4111,0.005,M,LU,,,,O,805,52,25,,,NY,0.4111,,,,
NY1804100093GKOH1,GK,597,Cypermethrin,O,0.7396,0.012,M,GT,,,,O,805,35,14,,,NY,0.7396,,,,
NY1804100127GKOH1,GK,AKD,Penthiopyrad,A,1.2727,0.002,M,LU,,,,O,805,52,50,,,NY,1.2727,,,,
NY1804100127GKOH1,GK,930,Bifenthrin,O,0.9544,0.001,M,GT,,,,O,805,35,3.5,,,NY,0.9544,,,,
NY1804100127GKOH1,GK,A58,Tebuconazole,L,0.0083,0.005,M,LU,,Q,,O,805,52,2.5,,,NY,0.0083,,,,
NY1804100127GKOH1,GK,AGY,Spinetoram,I,0.0166,0.01,M,LU,,Q,,O,805,52,10,,,NY,0.0166,,,,
NY1804100142GKOH1,GK,B48,Azoxystrobin,F,0.1834,0.002,M,LU,,,,O,805,52,25,,,NY,0.1834,,,,
NY1804100156GKOH1,GK,930,Bifenthrin,O,0.6004,0.001,M,GT,,,,O,805,35,3.5,,,NY,0.6004,,,,
NY1804100156GKOH1,GK,A58,Tebuconazole,L,0.0083,0.005,M,LU,,Q,,O,805,52,2.5,,,NY,0.0083,,,,
NY1804100259GKOH1,GK,597,Cypermethrin,O,0.3014,0.012,M,GT,,,,O,805,35,14,,,NY,0.3014,,,,
NY1804100259GKOH1,GK,930,Bifenthrin,O,0.1528,0.001,M,GT,,,,O,805,35,3.5,,,NY,0.1528,,,,
NY1804100259GKOH1,GK,134,DCPA,A,0.0017,0.001,M,GT,,Q,,O,805,35,5,,,NY,0.0017,,,,
NY1804100259GKOH1,GK,AHT,Fluopicolide,A,0.0033,0.002,M,LU,,Q,,O,805,52,18,,,NY,0.0033,,,,
NY1804100259GKOH1,GK,28,Dieldrin,A,0.0033,0.002,M,GT,,Q,,O,805,35,0.05 AL,,,NY,0.0033,,,,
NY1804100259GKOH1,GK,AHM,Spirotetramat,I,0.0083,0.005,M,LU,,Q,,O,805,52,8,,,NY,0.0083,,,,
NY1804100293GKOH1,GK,B75,Boscalid,A,1.0838,0.01,M,LU,,,,O,805,52,60,,,NY,1.0838,,,,
NY1804100293GKOH1,GK,B61,Pyraclostrobin,F,0.9556,0.002,M,LU,,,,O,805,52,16,,,NY,0.9556,,,,
NY1804100293GKOH1,GK,607,Metalaxyl/Mefenoxam,F,0.0067,0.004,M,LU,,Q,,O,805,52,0.1,,,NY,0.0067,,,,
NY1804100293GKOH1,GK,AHT,Fluopicolide,A,0.0149,0.002,M,LU,,,,O,805,52,18,,,NY,0.0149,,,,
NY1804100031GKOH1,GK,AGX,Mandipropamid,N,4.2152,0.005,M,LU,,,,O,805,52,25,,,NY,4.2152,,,,
NY1804100068GKOH1,GK,AGW,Chlorantraniliprole,I,0.0166,0.01,M,LU,,Q,,O,805,52,11,,,NY,0.0166,,,,
NY1804100071GKOH1,GK,910,"DDE p,p'",A,0.0017,0.001,M,GT,,Q,,O,805,35,0.5 AL,,,NY,0.0017,,,,
NY1804100093GKOH1,GK,B75,Boscalid,A,0.5909,0.01,M,LU,,,,O,805,52,60,,,NY,0.5909,,,,
NY1804100127GKOH1,GK,B48,Azoxystrobin,F,0.1165,0.002,M,LU,,,,O,805,52,25,,,NY,0.1165,,,,
NY1804100142GKOH1,GK,B75,Boscalid,A,0.0166,0.01,M,LU,,Q,,O,805,52,60,,,NY,0.0166,,,,
NY1804100156GKOH1,GK,B48,Azoxystrobin,F,0.0978,0.002,M,LU,,,,O,805,52,25,,,NY,0.0978,,,,
NY1804100259GKOH1,GK,AGY,Spinetoram,I,0.0166,0.01,M,LU,,Q,,O,805,52,10,,,NY,0.0166,,,,
NY1804100293GKOH1,GK,AKG,Fluopyram,A,0.0413,0.002,M,LU,,,,O,805,52,50,,,NY,0.0413,,,,
NY1804020020OLCA1P,OL,808,Fenpropathrin,O,0.021,0.0012,M,GT,,,,O,805,35,5,,,NY,0.021,,,,
NY1804020011OLCA1P,OL,808,Fenpropathrin,O,0.0047,0.0012,M,GT,,,,O,805,35,5,,,NY,0.0047,,,,
NY1804020020OLCA1P,OL,539,Permethrin Total,O,0.0055,0.005,M,GT,,V,,O,805,35,NT,,,NY,0.0055,,,,
NY1804020283OLCA1P,OL,808,Fenpropathrin,O,0.01,0.0012,M,GT,,,,O,805,35,5,,,NY,0.01,,,,
NY1804020284OLCA1P,OL,808,Fenpropathrin,O,0.015,0.0012,M,GT,,,,O,805,35,5,,,NY,0.015,,,,
NY1804230145PDWA1P,PD,967,Imidacloprid,A,0.004,0.0033,M,LU,,,,O,805,64,3,,,NY,0.004,,,,
NY1804230286PDWA1P,PD,B48,Azoxystrobin,F,0.0038,0.0015,M,LU,,,,O,805,64,2,,,NY,0.0038,,,,
NY1804230088RANY1P,RA,B61,Pyraclostrobin,F,0.063,0.001,M,HR,,,,O,805,80,7,,,NY,0.063,,,,
NY1804230088RANY1P,RA,B75,Boscalid,A,0.14,0.001,M,GT,,,,O,805,35,8.5,,,NY,0.14,,,,
NY1804230088RANY1P,RA,AHM,Spirotetramat,I,0.0025,0.0015,M,HR,,Q,,O,805,80,3,,,NY,0.0025,,,,
NY1804230088RANY1P,RA,B57,Quinoxyfen,I,0.002,0.0012,M,GT,,Q,,O,805,35,2,,,NY,0.002,,,,
NY1804230088RANY1P,RA,B79,Trifloxystrobin,F,0.009,0.001,M,HR,,,,O,805,80,5,,,NY,0.009,,,,
NY1804230088RANY1P,RA,AFS,Fenpyroximate,F,0.006,0.003,M,HR,,,,O,805,80,1,,,NY,0.006,,,,
NY1804230088RANY1P,RA,679,Myclobutanil,L,0.006,0.001,M,HR,,,,O,805,80,10,,,NY,0.006,,,,
NY1804230089RANY1P,RA,58,MGK-264,F,0.02,0.0015,M,GT,,,,O,805,35,5,,,NY,0.02,,,,
NY1804230089RANY1P,RA,AFM,Flutriafol,L,0.23,0.001,M,HR,,,E,O,805,80,2.4,,,NY,0.23,,,,
NY1804230089RANY1P,RA,B75,Boscalid,A,0.0017,0.001,M,GT,,Q,,O,805,35,8.5,,,NY,0.0017,,,,
NY1804230089RANY1P,RA,B52,Buprofezin,F,0.0017,0.001,M,HR,,Q,,O,805,80,2.5,,,NY,0.0017,,,,
NY1804230089RANY1P,RA,930,Bifenthrin,O,0.0017,0.001,M,GT,,Q,,O,805,35,0.2,,,NY,0.0017,,,,
NY1804230089RANY1P,RA,679,Myclobutanil,L,0.003,0.001,M,HR,,,,O,805,80,10,,,NY,0.003,,,,
NY1804230089RANY1P,RA,AGW,Chlorantraniliprole,I,0.0025,0.0015,M,HR,,Q,,O,805,80,5,,,NY,0.0025,,,,
NY1804230089RANY1P,RA,B72,Tetraconazole,L,0.009,0.001,M,HR,,,,O,805,80,0.2,,,NY,0.009,,,,
NY1804230089RANY1P,RA,AES,Methoxyfenozide,I,0.009,0.001,M,HR,,,,O,805,80,1.5,,,NY,0.009,,,,
NY1804230089RANY1P,RA,B79,Trifloxystrobin,F,0.004,0.001,M,HR,,,,O,805,80,5,,,NY,0.004,,,,
NY1804230089RANY1P,RA,AHM,Spirotetramat,I,0.016,0.0015,M,HR,,,,O,805,80,3,,,NY,0.016,,,,
NY1804230089RANY1P,RA,70,Piperonyl butoxide,I,0.014,0.0015,M,GT,,,,O,805,35,10,,,NY,0.014,,,,
NY1804230089RANY1P,RA,B57,Quinoxyfen,I,0.013,0.0012,M,GT,,,,O,805,35,2,,,NY,0.013,,,,
NY1804230089RANY1P,RA,AHS,Flubendiamide,I,0.012,0.001,M,HR,,,,O,805,80,1.4,,,NY,0.012,,,,
NY1804230089RANY1P,RA,B42,Kresoxim-methyl,I,0.025,0.0015,M,GT,,,,O,805,35,1.5,,,NY,0.025,,,,
NY1804230145RANY1P,RA,AES,Methoxyfenozide,I,0.04,0.001,M,HR,,,,O,805,80,1.5,,,NY,0.04,,,,
